track_name,title,artist,album,bpm,genre,duration,extension,full_file_name
Storm - B From E (Original Mix) 140,B From E (Original Mix) 140,Storm,,140,,06:32,.mp3,Storm - B From E (Original Mix) 140.mp3
Stunnalina - Aiden Francis (Original Mix) 136,Aiden Francis (Original Mix) 136,Stunnalina,,136,,05:44,.mp3,Stunnalina - Aiden Francis (Original Mix) 136.mp3
Symphonic Dance - Hotpretty (Original Mix) 132,Hotpretty (Original Mix) 132,Symphonic Dance,,132,,05:55,.mp3,Symphonic Dance - Hotpretty (Original Mix) 132.mp3
T-Minus - Body Clinic (Original Mix) 136,Body Clinic (Original Mix) 136,T-Minus,,136,,06:39,.mp3,T-Minus - Body Clinic (Original Mix) 136.mp3
Tears Of Duduk - Some1 (Original Mix) 142,Some1 (Original Mix) 142,Tears Of Duduk,,142,,08:50,.mp3,Tears Of Duduk - Some1 (Original Mix) 142.mp3
Teralyn - Terminal Sync (Original Mix) 140,Terminal Sync (Original Mix) 140,Teralyn,,140,,05:36,.mp3,Teralyn - Terminal Sync (Original Mix) 140.mp3
Terraformer - Atlas (Original Mix) 132,Atlas (Original Mix) 132,Terraformer,,132,,07:21,.mp3,Terraformer - Atlas (Original Mix) 132.mp3
"The Fusion - Ovnimoon, Hedustma (Original Mix) 125","Ovnimoon, Hedustma (Original Mix) 125",The Fusion,,125,,09:32,.mp3,"The Fusion - Ovnimoon, Hedustma (Original Mix) 125.mp3"
The Journey - Project Alpha (Deco 5000 Endless Dream Mix) 150,Project Alpha (Deco 5000 Endless Dream Mix) 150,The Journey,,150,,09:03,.mp3,The Journey - Project Alpha (Deco 5000 Endless Dream Mix) 150.mp3
The Moons Of Creation - Spirit Project (Original Mix) 140,Spirit Project (Original Mix) 140,The Moons Of Creation,,140,,08:11,.mp3,The Moons Of Creation - Spirit Project (Original Mix) 140.mp3
The Night Everything Happened - Alvar (Original Mix) 129,Alvar (Original Mix) 129,The Night Everything Happened,,129,,06:56,.mp3,The Night Everything Happened - Alvar (Original Mix) 129.mp3
Tisno Tango - Ysanne (Original Mix) 135,Ysanne (Original Mix) 135,Tisno Tango,,135,,05:27,.mp3,Tisno Tango - Ysanne (Original Mix) 135.mp3
"Traffic - Joker Jam, Danccer (Sunset Mix) 132","Joker Jam, Danccer (Sunset Mix) 132",Traffic,,132,,13:51,.mp3,"Traffic - Joker Jam, Danccer (Sunset Mix) 132.mp3"
Unforgiven Hope - Samoh (Original Mix) 147,Samoh (Original Mix) 147,Unforgiven Hope,,147,,05:33,.mp3,Unforgiven Hope - Samoh (Original Mix) 147.mp3
Unnecessary Attitude - Basil O'glue (Nomas Remix) 136,Basil O'glue (Nomas Remix) 136,Unnecessary Attitude,,136,,06:49,.mp3,Unnecessary Attitude - Basil O'glue (Nomas Remix) 136.mp3
Unseen Between A Million Eyes - Nomas (Original Mix) 138,Nomas (Original Mix) 138,Unseen Between A Million Eyes,,138,,06:09,.mp3,Unseen Between A Million Eyes - Nomas (Original Mix) 138.mp3
Usotsuki - Zeshin (Original Mix) 150,Zeshin (Original Mix) 150,Usotsuki,,150,,04:11,.mp3,Usotsuki - Zeshin (Original Mix) 150.mp3
Want U - Close Proximity (Cybernet's Acid Remix) 142,Close Proximity (Cybernet's Acid Remix) 142,Want U,,142,,06:38,.mp3,Want U - Close Proximity (Cybernet's Acid Remix) 142.mp3
"Wavefolding Dreams - Monophonik, Kohra (Original) 142","Monophonik, Kohra (Original) 142",Wavefolding Dreams,,142,,07:46,.mp3,"Wavefolding Dreams - Monophonik, Kohra (Original) 142.mp3"
Whispers - Spacer Woman (Original Mix) 140,Spacer Woman (Original Mix) 140,Whispers,,140,,05:59,.mp3,Whispers - Spacer Woman (Original Mix) 140.mp3
